#{"t_start": 1686561729.0536869, "env_id": "CartPole-v1"}
r,l,t
19.0,19,1.072532
24.0,24,1.130585
13.0,13,1.138426
16.0,16,1.187847
29.0,29,1.243767
33.0,33,1.302083
13.0,13,1.310244
27.0,27,1.364742
23.0,23,1.418548
16.0,16,1.428488
157.0,157,1.718279
96.0,96,1.894035
137.0,137,2.117139
198.0,198,2.482338
273.0,273,2.920305
272.0,272,3.592059
108.0,108,3.761667
119.0,119,3.976058
130.0,130,4.194129
127.0,127,4.40965
174.0,174,4.687791
197.0,197,5.017021
184.0,184,5.347317
153.0,153,5.858421
188.0,188,6.188301
199.0,199,6.517211
500.0,500,7.414331
500.0,500,8.983659
500.0,500,9.857355
500.0,500,10.681356
500.0,500,12.204257
500.0,500,13.067794
500.0,500,14.565922
500.0,500,15.421647
500.0,500,16.327212
500.0,500,17.802125
500.0,500,18.674073
500.0,500,20.167307
500.0,500,21.059944
500.0,500,21.935556
500.0,500,23.461146
500.0,500,24.340985
500.0,500,25.944518
500.0,500,26.799236
500.0,500,27.735843
