#{"t_start": 1686561729.0523431, "env_id": "CartPole-v1"}
r,l,t
16.0,16,1.072246
17.0,17,1.126116
15.0,15,1.134728
25.0,25,1.189725
23.0,23,1.201952
52.0,52,1.312201
18.0,18,1.361696
27.0,27,1.417443
19.0,19,1.429203
25.0,25,1.482395
56.0,56,1.595175
89.0,89,1.727081
25.0,25,1.7813
152.0,152,2.058941
101.0,101,2.222956
245.0,245,2.647794
248.0,248,3.074123
164.0,164,3.54107
113.0,113,3.712204
107.0,107,3.920949
123.0,123,4.097696
114.0,114,4.307089
163.0,163,4.580003
171.0,171,4.856173
304.0,304,5.401272
237.0,237,6.035008
183.0,183,6.357203
225.0,225,6.740639
500.0,500,7.636739
500.0,500,9.202482
500.0,500,10.083463
500.0,500,11.598655
500.0,500,12.424473
500.0,500,13.28861
500.0,500,14.785805
500.0,500,15.66254
500.0,500,17.162817
500.0,500,18.033078
500.0,500,18.898175
500.0,500,20.427577
500.0,500,21.284794
500.0,500,22.833064
500.0,500,23.6824
500.0,500,24.572608
500.0,500,26.176822
500.0,500,27.043521
