#{"t_start": 1686561729.055534, "env_id": "CartPole-v1"}
r,l,t
17.0,17,1.069644
10.0,10,1.074932
19.0,19,1.13045
12.0,12,1.137743
56.0,56,1.248748
20.0,20,1.300322
21.0,21,1.312612
34.0,34,1.371964
46.0,46,1.47818
54.0,54,1.589788
93.0,93,1.723971
130.0,130,1.956457
101.0,101,2.158517
203.0,203,2.48851
183.0,183,2.805486
176.0,176,3.081985
143.0,143,3.538507
99.0,99,3.702174
97.0,97,3.867815
132.0,132,4.08746
135.0,135,4.307485
147.0,147,4.572011
161.0,161,4.843241
374.0,374,5.463414
252.0,252,6.142022
229.0,229,6.525828
500.0,500,7.422824
500.0,500,9.028997
500.0,500,9.86649
500.0,500,10.728252
500.0,500,12.249109
500.0,500,13.075877
500.0,500,14.611988
500.0,500,15.434589
500.0,500,16.335563
500.0,500,17.852491
500.0,500,18.682197
500.0,500,20.213058
500.0,500,21.108331
500.0,500,21.94479
500.0,500,23.507621
500.0,500,24.349747
500.0,500,25.95421
500.0,500,26.850014
500.0,500,27.744857
