#{"t_start": 1686561729.05326, "env_id": "CartPole-v1"}
r,l,t
36.0,36,1.127276
22.0,22,1.139963
28.0,28,1.195901
39.0,39,1.257421
20.0,20,1.309334
22.0,22,1.361432
38.0,38,1.424374
41.0,41,1.486192
195.0,195,1.840104
130.0,130,2.064462
108.0,108,2.269546
296.0,296,2.757401
271.0,271,3.197287
139.0,139,3.649884
94.0,94,3.813667
130.0,130,4.032987
117.0,117,4.206136
152.0,152,4.473072
158.0,158,4.742857
289.0,289,5.237444
159.0,159,5.514837
180.0,180,6.080445
193.0,193,6.407623
387.0,387,7.097775
500.0,500,7.955887
500.0,500,9.523583
500.0,500,10.402694
500.0,500,11.882264
500.0,500,12.747282
500.0,500,13.623328
500.0,500,15.105109
500.0,500,16.007606
500.0,500,17.463452
500.0,500,18.351975
500.0,500,19.226802
500.0,500,20.716383
500.0,500,21.605221
500.0,500,23.166228
500.0,500,24.022681
500.0,500,24.907613
500.0,500,26.466942
500.0,500,27.394032
