#{"t_start": 1686561729.0542004, "env_id": "CartPole-v1"}
r,l,t
22.0,22,1.07358
14.0,14,1.126392
32.0,32,1.184203
17.0,17,1.19441
85.0,85,1.362082
25.0,25,1.416924
78.0,78,1.542033
171.0,171,1.840832
118.0,118,2.058758
97.0,97,2.220579
186.0,186,2.542407
261.0,261,2.973092
274.0,274,3.646394
108.0,108,3.817352
134.0,134,4.039104
139.0,139,4.298598
164.0,164,4.571761
175.0,175,4.850192
500.0,500,5.967078
194.0,194,6.297765
330.0,330,6.865656
500.0,500,7.758983
500.0,500,9.309102
500.0,500,10.190563
500.0,500,11.707017
500.0,500,12.532473
500.0,500,13.401286
500.0,500,14.892997
500.0,500,15.782233
500.0,500,17.279504
500.0,500,18.13919
500.0,500,19.015396
500.0,500,20.535866
500.0,500,21.391399
500.0,500,22.944625
500.0,500,23.798069
500.0,500,24.689902
500.0,500,26.286797
500.0,500,27.162394
