#{"t_start": 1686561729.0551217, "env_id": "CartPole-v1"}
r,l,t
12.0,12,1.067398
11.0,11,1.073223
54.0,54,1.189056
32.0,32,1.246478
30.0,30,1.304384
26.0,26,1.35838
14.0,14,1.366082
41.0,41,1.430665
67.0,67,1.548629
122.0,122,1.779655
145.0,145,2.053677
149.0,149,2.280535
223.0,223,2.655516
448.0,448,3.60531
39.0,39,3.700104
44.0,44,3.761875
116.0,116,3.974679
124.0,124,4.189535
159.0,159,4.42134
162.0,162,4.731623
177.0,177,5.012514
211.0,211,5.395361
193.0,193,5.96559
306.0,306,6.467625
323.0,323,7.048584
500.0,500,7.945372
500.0,500,9.512669
500.0,500,10.354846
500.0,500,11.872122
500.0,500,12.699431
500.0,500,13.57637
500.0,500,15.095129
500.0,500,15.960587
500.0,500,17.451435
500.0,500,18.341747
500.0,500,19.17946
500.0,500,20.704868
500.0,500,21.557642
500.0,500,23.114162
500.0,500,24.01224
500.0,500,24.859031
500.0,500,26.456063
500.0,500,27.382183
